C=C bond length,Triplet,Singlet
1.300000,4.013849,8.731122
1.310000,3.892231,8.628087
1.320000,3.772516,8.526206
1.330000,3.654566,8.425367
1.340000,3.538245,8.325460
1.343472,3.538245,8.325460
1.350000,3.423728,8.226632
1.360000,3.310882,8.128773
1.370000,3.199678,8.031862
1.380000,3.089994,7.935794
1.390000,2.981988,7.840713
1.400000,2.875538,7.746510
1.410000,2.770534,7.653089
1.420000,2.667115,7.560583
1.430000,2.565173,7.468896
1.440000,2.464594,7.377928
1.450000,2.365527,7.287817
1.460000,2.267858,7.198464
1.470000,2.171483,7.109776
1.480000,2.076495,7.021841
1.490000,1.982882,6.934654
1.500000,1.890575,6.848159
1.510000,1.799473,6.762261
1.520000,1.709712,6.677091
1.530000,1.621187,6.592561
1.540000,1.533807,6.508586
1.550000,1.447698,6.425293
1.560000,1.362767,6.342597
1.570000,1.278921,6.260416
1.580000,1.196285,6.178877
1.590000,1.114767,6.097898
1.600000,1.034280,6.017399
